True,Predicted,Count,Error Rate
Benign,Malignant,108,8.378588052754074
Nail Fungus And Other Nail Disease,Hair Loss Photos Alopecia And Other Hair Diseases,101,7.229778095919828
Psoriasis Pictures Lichen Planus And Related Diseases,Nail Fungus And Other Nail Disease,83,6.116433308769344
Malignant,Benign,80,5.930318754633062
Psoriasis Pictures Lichen Planus And Related Diseases,Eczema Photos,40,2.9476787030213707
Actinic Keratosis Basal Cell Carcinoma And Other Malignant Lesions,Seborrheic Keratoses And Other Benign Tumors,34,2.490842490842491
Eczema Photos,Atopic Dermatitis Photos,34,2.5278810408921935
Tinea Ringworm Candidiasis And Other Fungal Infections,Eczema Photos,34,2.520385470719051
Light Diseases And Disorders Of Pigmentation,Acne And Rosacea Photos,29,1.9218025182239893
Seborrheic Keratoses And Other Benign Tumors,Actinic Keratosis Basal Cell Carcinoma And Other Malignant Lesions,26,1.9908116385911179
Actinic Keratosis Basal Cell Carcinoma And Other Malignant Lesions,Acne And Rosacea Photos,24,1.7582417582417582
Eczema Photos,Psoriasis Pictures Lichen Planus And Related Diseases,23,1.7100371747211895
Warts Molluscum And Other Viral Infections,Herpes Hpv And Other Stds Photos,23,14.64968152866242
Eczema Photos,Poison Ivy Photos And Other Contact Dermatitis,22,1.6356877323420074
Nail Fungus And Other Nail Disease,Psoriasis Pictures Lichen Planus And Related Diseases,21,1.5032211882605584
Psoriasis Pictures Lichen Planus And Related Diseases,Tinea Ringworm Candidiasis And Other Fungal Infections,21,1.5475313190862197
Psoriasis Pictures Lichen Planus And Related Diseases,Exanthems And Drug Eruptions,20,1.4738393515106853
Seborrheic Keratoses And Other Benign Tumors,Acne And Rosacea Photos,20,1.5313935681470139
Lupus And Other Connective Tissue Diseases,Systemic Disease,17,1.1024643320363166
Tinea Ringworm Candidiasis And Other Fungal Infections,Psoriasis Pictures Lichen Planus And Related Diseases,17,1.2601927353595255
Actinic Keratosis Basal Cell Carcinoma And Other Malignant Lesions,Light Diseases And Disorders Of Pigmentation,16,1.1721611721611722
Seborrheic Keratoses And Other Benign Tumors,Melanoma Skin Cancer Nevi And Moles,16,1.225114854517611
Psoriasis Pictures Lichen Planus And Related Diseases,Poison Ivy Photos And Other Contact Dermatitis,15,1.105379513633014
Acne And Rosacea Photos,Exanthems And Drug Eruptions,14,1.0744435917114352
Seborrheic Keratoses And Other Benign Tumors,Systemic Disease,14,1.0719754977029097
Systemic Disease,Vasculitis Photos,14,0.9247027741083224
Tinea Ringworm Candidiasis And Other Fungal Infections,Cellulitis Impetigo And Other Bacterial Infections,14,1.0378057820607858
Psoriasis Pictures Lichen Planus And Related Diseases,Atopic Dermatitis Photos,13,0.9579955784819455
Light Diseases And Disorders Of Pigmentation,Melanoma Skin Cancer Nevi And Moles,12,0.7952286282306164
Seborrheic Keratoses And Other Benign Tumors,Warts Molluscum And Other Viral Infections,12,0.9188361408882083
Systemic Disease,Actinic Keratosis Basal Cell Carcinoma And Other Malignant Lesions,12,0.7926023778071334
Actinic Keratosis Basal Cell Carcinoma And Other Malignant Lesions,Eczema Photos,11,0.8058608058608059
Melanoma Skin Cancer Nevi And Moles,Seborrheic Keratoses And Other Benign Tumors,11,0.7452574525745257
Psoriasis Pictures Lichen Planus And Related Diseases,Bulluosdiseasephotos,11,0.810611643330877
Actinic Keratosis Basal Cell Carcinoma And Other Malignant Lesions,Psoriasis Pictures Lichen Planus And Related Diseases,10,0.7326007326007326
Eczema Photos,Nail Fungus And Other Nail Disease,10,0.7434944237918215
Eczema Photos,Tinea Ringworm Candidiasis And Other Fungal Infections,10,0.7434944237918215
Melanoma Skin Cancer Nevi And Moles,Light Diseases And Disorders Of Pigmentation,10,0.6775067750677507
Psoriasis Pictures Lichen Planus And Related Diseases,Cellulitis Impetigo And Other Bacterial Infections,10,0.7369196757553427
Psoriasis Pictures Lichen Planus And Related Diseases,Herpes Hpv And Other Stds Photos,10,0.7369196757553427
